Title:,"Time Series, Area-Averaged of Air Temperature (Daytime/Ascending) daily 1 (daily)"
User Start Date:,2002-08-31T00:00:00Z
User End Date:,2016-09-25T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-31T00:00:00Z&endtime=2016-09-25T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STD_006_Temperature_A(z%3D500%3Aunits%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_Temperature_A):, -9999

time, mean_AIRX3STD_006_Temperature_A
2003-02-25,-15.2819576
2003-02-26,-15.4052792
2003-02-27,-15.3949337
2003-02-28,-15.4064388
2003-03-01,-15.3867245
2003-03-02,-15.2717953
2003-03-03,-15.0867367
2003-03-04,-15.1746883
2003-03-05,-15.1455746
2003-03-06,-15.0789242
2003-03-07,-15.0874691
2003-03-08,-15.0905819
2003-03-09,-15.0228024
2003-03-10,-15.0078487
2003-03-11,-15.0502987
2003-03-12,-14.9827633
2003-03-13,-14.9217892
2003-03-14,-14.9480038
2003-03-15,-15.0518856
2003-03-16,-15.1151485
2003-03-17,-15.1186886
2003-03-18,-15.0401974
2003-03-19,-15.2144222
2003-03-20,-14.9323177
2003-03-21,-14.8199215
2003-03-22,-14.9750729
2003-03-23,-15.0036068
2003-03-24,-15.0640926
2003-03-25,-15.0648556
2003-03-26,-15.017065
2003-03-27,-14.9575558
2003-03-28,-15.0195675
2003-03-29,-15.1516476
2003-03-30,-15.0823116
2003-03-31,-15.0384579
2003-04-01,-14.9986935
2003-04-02,-15.0985165
2003-04-03,-15.1814022
2003-04-04,-15.1787472
2003-04-05,-15.1718807
2003-04-06,-15.0031796
2003-04-07,-14.8549862
2003-04-08,-14.8275814
2003-04-09,-14.7504635
2003-04-10,-14.6513424
2003-04-11,-14.5233517
2003-04-12,-14.9301815
2003-04-13,-14.5070248
2003-04-14,-14.3444881
2003-04-15,-14.2646542
2003-04-16,-14.2408504
2003-04-17,-14.1909542
2003-04-18,-14.1762447
2003-04-19,-14.2537899
2003-04-20,-14.3041439
2003-04-21,-14.244482
