Title:,"Time Series, Area-Averaged of Air Temperature (Daytime/Ascending) daily 1 (daily)"
User Start Date:,2002-08-01T00:00:00Z
User End Date:,2016-09-25T23:59:59Z
User Bounding Box:,"-175,-60,172.5,86"
Data Bounding Box:,"-174.5,-59.5,172.5,85.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-08-01T00:00:00Z&endtime=2016-09-25T23:59:59Z&bbox=-175,-60,172.5,86&data=AIRX3STD_006_Temperature_A(z%3D500)&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_Temperature_A):, -9999

time, mean_AIRX3STD_006_Temperature_A
2003-04-28,258.844208
2003-04-29,258.844147
2003-04-30,258.94751
2003-05-01,259.029816
2003-05-02,259.04129
2003-05-03,259.21405
2003-05-04,259.318481
2003-05-05,259.428009
2003-05-06,259.499329
2003-05-07,259.561981
2003-05-08,259.510468
2003-05-09,259.436981
2003-05-10,259.347534
2003-05-11,259.259308
2003-05-12,258.981506
2003-05-13,259.276276
2003-05-14,259.318359
2003-05-15,259.388885
2003-05-16,259.435547
2003-05-17,259.541351
2003-05-18,259.663849
2003-05-19,259.656219
2003-05-20,259.660034
2003-05-21,259.648193
2003-05-22,259.599243
2003-05-23,259.55069
2003-05-24,259.546753
2003-05-25,259.662445
2003-05-26,259.912781
2003-05-27,260.016296
2003-05-28,259.998718
2003-05-29,259.961578
2003-05-30,259.916992
2003-05-31,259.9534
2003-06-01,259.746735
2003-06-02,259.768463
2003-06-03,259.888275
2003-06-04,259.866638
2003-06-05,259.916321
2003-06-06,259.959045
2003-06-07,259.916992
2003-06-08,259.820343
2003-06-09,259.935791
2003-06-10,259.795319
2003-06-11,260.005371
2003-06-12,260.007111
2003-06-13,260.330597
2003-06-14,260.348358
2003-06-15,260.301819
2003-06-16,260.24292
2003-06-17,260.217255
2003-06-18,260.225891
2003-06-19,260.184113
2003-06-20,260.196472
2003-06-21,260.300476
2003-06-22,260.384735
2003-06-23,260.403961
2003-06-24,260.411377
2003-06-25,260.444244
2003-06-26,260.535706
2003-06-27,260.525848
2003-06-28,260.549133
2003-06-29,260.630524
2003-06-30,260.671844
2003-07-01,260.658752
2003-07-02,260.682343
2003-07-03,260.673798
2003-07-04,260.664093
2003-07-05,260.54599
2003-07-06,260.548523
2003-07-07,260.531708
2003-07-08,260.653473
2003-07-09,260.796051
2003-07-10,260.846527
2003-07-11,260.896698
2003-07-12,260.921509
2003-07-13,261.04126
2003-07-14,261.161652
2003-07-15,261.19873
2003-07-16,261.187531
2003-07-17,261.217346
2003-07-18,261.192261
2003-07-19,261.161713
2003-07-20,261.256195
2003-07-21,261.247803
2003-07-22,261.253632
2003-07-23,261.267456
2003-07-24,261.263672
2003-07-25,261.279358
2003-07-26,261.315002
2003-07-27,261.347565
2003-07-28,261.409607
2003-07-29,261.359924
2003-07-30,261.302185
2003-07-31,261.241089
2003-08-01,261.122894
2003-08-02,261.292969
2003-08-03,261.4198
2003-08-04,261.271545
2003-08-05,261.143219
2003-08-06,261.073792
2003-08-07,261.048035
2003-08-08,261.051697
2003-08-09,261.106659
2003-08-10,261.074066
2003-08-11,260.911438
2003-08-12,260.94339
2003-08-13,261.046875
2003-08-14,260.987518
2003-08-15,260.905518
2003-08-16,260.823059
2003-08-17,260.771942
2003-08-18,260.724487
2003-08-19,260.740906
2003-08-20,260.834778
2003-08-21,260.834229
2003-08-22,260.750946
2003-08-23,260.713928
2003-08-24,260.7211
2003-08-25,260.772125
2003-08-26,260.741241
2003-08-27,260.662048
2003-08-28,260.622742
2003-08-29,260.657532
2003-08-30,260.627411
2003-08-31,260.48114
2003-09-01,260.416748
2003-09-02,260.366608
2003-09-03,260.279816
2003-09-04,260.217957
2003-09-05,260.313934
2003-09-06,260.33371
2003-09-07,260.232452
2003-09-08,260.293671
2003-09-09,260.209808
2003-09-10,260.267059
2003-09-11,260.240051
2003-09-12,260.273834
2003-09-13,260.174744
2003-09-14,260.07077
2003-09-15,259.969238
2003-09-16,259.860504
2003-09-17,259.80954
2003-09-18,259.663544
2003-09-19,259.753632
2003-09-20,259.790894
2003-09-21,259.920013
2003-09-22,259.93866
2003-09-23,259.976837
2003-09-24,259.904388
2003-09-25,259.849487
2003-09-26,259.818115
2003-09-27,259.793915
2003-09-28,259.898773
2003-09-29,259.851044
2003-09-30,259.834747
2003-10-01,259.836639
2003-10-02,259.719116
2003-10-03,259.656952
2003-10-04,259.448334
2003-10-05,259.391693
2003-10-06,259.365387
2003-10-07,259.19165
2003-10-08,259.403656
2003-10-09,259.42923
2003-10-10,259.514771
2003-10-11,259.491913
2003-10-12,259.434479
2003-10-13,259.234863
2003-10-14,259.368317
2003-10-15,259.368896
2003-10-16,259.302582
2003-10-17,259.232239
2003-10-18,259.018219
2003-10-19,259.071075
2003-10-20,259.116516
2003-10-21,259.101654
2003-10-22,259.097748
2003-10-23,259.093323
2003-10-24,259.075439
2003-10-25,259.168213
2003-10-26,259.166718
2003-10-27,259.037537
2003-10-28,259.027405
2003-10-29,243.750946
2003-11-19,259.062561
2003-11-20,258.582367
2003-11-21,258.566498
2003-11-22,258.720276
2003-11-23,258.708618
2003-11-24,258.535156
2003-11-25,258.258026
2003-11-26,258.194122
2003-11-27,258.209595
2003-11-28,258.062164
2003-11-29,258.060089
2003-11-30,258.188354
2003-12-01,258.292603
2003-12-02,258.24118
2003-12-03,258.174072
2003-12-04,258.219513
2003-12-05,258.157196
2003-12-06,258.061462
2003-12-07,258.102905
2003-12-08,258.170563
2003-12-09,258.137329
2003-12-10,258.129059
2003-12-11,258.079407
2003-12-12,257.924347
2003-12-13,258.038574
2003-12-14,258.014374
2003-12-15,258.146637
2003-12-16,258.30722
2003-12-17,258.324921
2003-12-18,258.425751
2003-12-19,258.557617
2003-12-20,258.625214
2003-12-21,258.524231
2003-12-22,258.573486
2003-12-23,258.425873
2003-12-24,258.241608
2003-12-25,258.213379
2003-12-26,258.102264
2003-12-27,258.182159
2003-12-28,258.295288
2003-12-29,258.386475
2003-12-30,258.254303
2003-12-31,258.259216
2004-01-01,258.173248
2004-01-02,258.078369
2004-01-03,257.955994
2004-01-04,257.809265
2004-01-05,257.725952
2004-01-06,257.657776
2004-01-07,257.774597
2004-01-08,257.811371
2004-01-09,257.817688
2004-01-10,257.807953
2004-01-11,257.815704
2004-01-12,257.795441
2004-01-13,257.79657
2004-01-14,258.006989
2004-01-15,257.963318
2004-01-16,257.92572
2004-01-17,258.104034
2004-01-18,258.132904
2004-01-19,258.026123
2004-01-20,257.955109
2004-01-21,257.620728
2004-01-22,257.812988
2004-01-23,257.7901
2004-01-24,257.727539
2004-01-25,257.768219
2004-01-26,257.785217
2004-01-27,257.638428
2004-01-28,257.647186
2004-01-29,257.515442
2004-01-30,257.485657
2004-01-31,257.619598
2004-02-01,257.530945
2004-02-02,257.701263
2004-02-03,257.687836
2004-02-04,257.855255
2004-02-05,257.930969
2004-02-06,258.013062
2004-02-07,258.018311
2004-02-08,258.115417
2004-02-09,258.172302
2004-02-10,258.114716
2004-02-11,258.138519
2004-02-12,257.981354
2004-02-13,257.938232
2004-02-14,257.949707
2004-02-15,258.246826
2004-02-16,258.365845
2004-02-17,258.365662
2004-02-18,258.288086
2004-02-19,258.321259
2004-02-20,258.304291
2004-02-21,258.139709
2004-02-22,257.96701
2004-02-23,257.931274
2004-02-24,257.961151
2004-02-25,257.858246
2004-02-26,257.804291
2004-02-27,258.017944
2004-02-28,258.060486
2004-02-29,258.170654
2004-03-01,258.352295
2004-03-02,258.208313
2004-03-03,258.407257
2004-03-04,258.726715
2004-03-05,258.818634
2004-03-06,258.812531
2004-03-07,258.948914
2004-03-08,259.054596
2004-03-09,258.983826
2004-03-10,258.920502
2004-03-11,258.845978
2004-03-12,258.798706
2004-03-13,258.655823
2004-03-14,258.564941
2004-03-15,258.372253
2004-03-16,258.341156
2004-03-17,258.31134
2004-03-18,258.217773
2004-03-19,258.202209
2004-03-20,258.201019
2004-03-21,258.187622
2004-03-22,258.096802
2004-03-23,258.190094
2004-03-24,258.174042
2004-03-25,258.162048
2004-03-26,258.113342
2004-03-27,258.178131
2004-03-28,258.329773
2004-03-29,258.526031
2004-03-30,258.638672
2004-03-31,258.306793
2004-04-01,258.741547
2004-04-02,258.689667
2004-04-03,258.613586
2004-04-04,258.612061
2004-04-05,258.572845
2004-04-06,258.467194
2004-04-07,258.421814
2004-04-08,258.419281
2004-04-09,258.364227
2004-04-10,258.441895
2004-04-11,258.484161
2004-04-12,258.516937
2004-04-13,258.604614
2004-04-14,258.665222
2004-04-15,258.652649
2004-04-16,258.724609
2004-04-17,258.843414
2004-04-18,258.765564
2004-04-19,258.846771
2004-04-20,258.983521
2004-04-21,258.654236
2004-04-22,258.832916
2004-04-23,258.81366
2004-04-24,258.938385
2004-04-25,259.094574
2004-04-26,259.20639
2004-04-27,259.250427
2004-04-28,259.338074
2004-04-29,259.310699
2004-04-30,258.886017
2004-05-01,259.099091
2004-05-02,259.110138
2004-05-03,259.373932
2004-05-04,259.455719
2004-05-05,259.510437
2004-05-06,259.615417
2004-05-07,259.717957
2004-05-08,259.689117
2004-05-09,259.629669
2004-05-10,259.60437
2004-05-11,259.641174
2004-05-12,259.677521
2004-05-13,259.623077
2004-05-14,259.575348
2004-05-15,259.451752
2004-05-16,259.283875
2004-05-17,259.291229
2004-05-18,259.209198
2004-05-19,259.185089
2004-05-20,259.269714
2004-05-21,259.399811
2004-05-22,259.487793
2004-05-23,259.568817
2004-05-24,259.529358
2004-05-25,259.427124
2004-05-26,259.483063
2004-05-27,259.562653
2004-05-28,259.52655
2004-05-29,259.597229
2004-05-30,259.729034
2004-05-31,259.720795
2004-06-01,259.712341
2004-06-02,259.824554
2004-06-03,259.838959
2004-06-04,259.819183
2004-06-05,259.818359
2004-06-06,259.892181
2004-06-07,259.891632
2004-06-08,259.937897
2004-06-09,259.961426
2004-06-10,260.062012
2004-06-11,260.168884
2004-06-12,260.26712
2004-06-13,260.299652
2004-06-14,260.281769
2004-06-15,260.222687
2004-06-16,260.216095
2004-06-17,260.282166
2004-06-18,260.3927
2004-06-19,260.539124
2004-06-20,260.547424
2004-06-21,260.54245
2004-06-22,260.371765
2004-06-23,260.434845
2004-06-24,260.463165
2004-06-25,260.448456
2004-06-26,260.426422
2004-06-27,260.646027
2004-06-28,260.710052
2004-06-29,260.749084
2004-06-30,260.7883
2004-07-01,260.831726
2004-07-02,260.753082
2004-07-03,260.663696
2004-07-04,260.611572
2004-07-05,260.815216
2004-07-06,260.919586
2004-07-07,260.929108
2004-07-08,260.83432
2004-07-09,260.767914
2004-07-10,260.869537
2004-07-11,260.860138
2004-07-12,260.870148
2004-07-13,260.738922
2004-07-14,260.756042
2004-07-15,260.689911
2004-07-16,260.567566
2004-07-17,260.627838
2004-07-18,260.779907
2004-07-19,260.867889
2004-07-20,260.807861
2004-07-21,260.838318
2004-07-22,260.80719
2004-07-23,260.780212
2004-07-24,260.927826
2004-07-25,260.857178
2004-07-26,260.838013
2004-07-27,260.812012
2004-07-28,260.808655
2004-07-29,260.837585
2004-07-30,260.873444
2004-07-31,260.770935
2004-08-01,260.73938
2004-08-02,260.763733
2004-08-03,260.801849
2004-08-04,260.973206
2004-08-05,260.700684
2004-08-06,261.073608
2004-08-07,261.061951
2004-08-08,260.917847
2004-08-09,260.905182
2004-08-10,260.874481
2004-08-11,261.043182
2004-08-12,261.090302
2004-08-13,261.151215
2004-08-14,261.250519
2004-08-15,261.144104
2004-08-16,261.165741
2004-08-17,261.093353
2004-08-18,261.022858
2004-08-19,260.850952
2004-08-20,260.885406
2004-08-21,260.872925
2004-08-22,260.85257
2004-08-23,260.787079
2004-08-24,260.741608
2004-08-25,260.674042
2004-08-26,260.544586
2004-08-27,260.59787
2004-08-28,260.564667
2004-08-29,260.520538
2004-08-30,260.479858
2004-08-31,260.487091
2004-09-01,260.419373
2004-09-02,260.330505
2004-09-03,260.316315
2004-09-04,260.212891
2004-09-05,260.076141
2004-09-06,260.057404
2004-09-07,260.177216
2004-09-08,260.285278
2004-09-09,260.335327
2004-09-10,260.329956
2004-09-11,260.380005
2004-09-12,260.394135
2004-09-13,260.366577
2004-09-14,260.207458
2004-09-15,260.262634
2004-09-16,260.210327
2004-09-17,260.140411
2004-09-18,260.042572
2004-09-19,260.105377
2004-09-20,260.046417
2004-09-21,260.049805
2004-09-22,260.135559
2004-09-23,260.093536
2004-09-24,260.009552
2004-09-25,259.849762
2004-09-26,259.788696
2004-09-27,259.710815
2004-09-28,259.638092
2004-09-29,259.659332
2004-09-30,259.777985
2004-10-01,259.660156
2004-10-02,259.581024
2004-10-03,259.418274
2004-10-04,259.321228
2004-10-05,259.206207
2004-10-06,259.286713
2004-10-07,259.343414
2004-10-08,259.463684
2004-10-09,259.445465
2004-10-10,259.490173
2004-10-11,259.487671
2004-10-12,259.317444
2004-10-13,259.517487
2004-10-14,259.569611
2004-10-15,259.476196
2004-10-16,259.282166
2004-10-17,259.221588
2004-10-18,259.208282
2004-10-19,259.290588
2004-10-20,259.203033
2004-10-21,259.231781
2004-10-22,259.13739
2004-10-23,259.02655
2004-10-24,258.944122
2004-10-25,258.891663
2004-10-26,258.846161
2004-10-27,258.849579
2004-10-28,258.690796
2004-10-29,258.519073
2004-10-30,258.531799
2004-10-31,258.383789
2004-11-01,258.521515
2004-11-02,258.700592
2004-11-03,258.660217
2004-11-04,258.739655
2004-11-05,258.760437
2004-11-06,258.786713
2004-11-07,255.8564
