Title:,"Time Series, Area-Averaged of Volumetric Soil Moisture from 6.9 GHZ daily 25 (daily)"
User Start Date:,2012-07-03T00:00:00Z
User End Date:,2023-12-22T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,"-179.875,-89.875,179.875,89.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2012-07-03T00:00:00Z&endtime=2023-12-22T23:59:59Z&data=LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1&portal=GIOVANNI&format=json"
Fill Value (mean_LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1):, -32767

time, mean_LPRM_AMSR2_A_SOILM3_001_soil_moisture_c1
2013-01-08,51.2171742
2013-01-09,52.3886075
2013-01-10,51.9506174
2013-01-11,51.9449153
2013-01-12,52.7474403
2013-01-13,51.5302895
2013-01-14,52.8357937
2013-01-15,50.6608913
2013-01-16,52.1144927
2013-01-17,50.6400267
2013-01-18,50.9548151
2013-01-19,51.7541721
2013-01-20,50.9843208
2013-01-21,52.1409764
2013-01-22,50.5006632
2013-01-23,52.3279967
2013-01-24,50.7058451
2013-01-25,51.3482536
2013-01-26,51.2735199
2013-01-27,51.6380929
2013-01-28,53.4946177
2013-01-29,51.5416882
2013-01-30,52.6104242
2013-01-31,50.8365279
2013-02-01,51.3750281
2013-02-02,50.4354791
2013-02-03,51.1069094
2013-02-04,51.8733985
2013-02-05,52.6149985
2013-02-06,51.5373416
2013-02-07,50.6440471
2013-02-08,51.7800357
2013-02-09,50.8139544
2013-02-10,51.2492707
2013-02-11,50.4233505
2013-02-12,50.9769517
2013-02-13,53.2237783
2013-02-14,51.1015939
2013-02-15,51.9096748
2013-02-16,50.7677353
2013-02-17,51.3351994
2013-02-18,50.8972488
2013-02-19,51.3600744
2013-02-20,51.3533028
2013-02-21,52.9422762
2013-02-22,51.3882774
2013-02-23,50.8001363
2013-02-24,51.6563349
2013-02-25,50.763328
2013-02-26,51.5237004
2013-02-27,51.397165
2013-02-28,51.2226995
2013-03-01,52.1949567
2013-03-02,50.5152105
2013-03-03,50.9411763
2013-03-04,50.369017
2013-03-05,50.976581
2013-03-06,50.86842
2013-03-07,50.6949378
2013-03-08,52.1936943
2013-03-09,53.0771225
2013-03-10,52.0176838
2013-03-11,50.1784313
