Title:,"Time Series, Area-Averaged of Ozone Total Column (Daytime/Ascending) monthly (monthly)"
User Start Date:,2002-02-01T00:00:00Z
User End Date:,2016-10-31T23:59:59Z
User Bounding Box:,"-175.5,-83.5,173.5,86.5"
Data Bounding Box:,"-175.5,-83.5,173.5,86.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-02-01T00:00:00Z&endtime=2016-10-31T23:59:59Z&bbox=-175.5,-83.5,173.5,86.5&data=AIRX3STM_006_TotO3_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_TotO3_A):, -9999

time, mean_AIRX3STM_006_TotO3_A
2015-11-01 00:00:00,283.695099
2015-12-01 00:00:00,283.410919
2016-01-01 00:00:00,281.774323
2016-02-01 00:00:00,285.94458
2016-03-01 00:00:00,287.306
2016-04-01 00:00:00,290.119293
2016-05-01 00:00:00,293.213409
2016-06-01 00:00:00,293.578217
2016-07-01 00:00:00,292.296906
2016-08-01 00:00:00,291.685638
2016-09-01 00:00:00,287.253113
